11/21/2022 	 2:57:00 PM
 Current Sensitivity 	 1.000000E-9
 This file comes from It only measurement 	 0.000000E+0
 Sampling rate 	 100
 Number of samples per channel 	 -1
 No filter from Labview

 ***End_of_Header***
 	 Time 	 Current 	 Filtered Current
	4.500000	3.690137E-9
	4.510000	3.716869E-9
	4.520000	3.733939E-9
	4.530000	3.743601E-9
	4.540000	3.747465E-9
	4.550000	3.742312E-9
	4.560000	3.737159E-9
	4.570000	3.727175E-9
	4.580000	3.716225E-9
	4.590000	3.704952E-9
	4.600000	3.691103E-9
	4.610000	3.679831E-9
	4.620000	3.666304E-9
	4.630000	3.656319E-9
	4.640000	3.648268E-9
	4.650000	3.642148E-9
	4.660000	3.639894E-9
	4.670000	3.637961E-9
	4.680000	3.637961E-9
	4.690000	3.640216E-9
	4.700000	3.640216E-9
	4.710000	3.643114E-9
	4.720000	3.643114E-9
	4.730000	3.643436E-9
	4.740000	3.646657E-9
	4.750000	3.647301E-9
	4.760000	3.652132E-9
	4.770000	3.655997E-9
	4.780000	3.658252E-9
	4.790000	3.662117E-9
	4.800000	3.662117E-9
	4.810000	3.664049E-9
	4.820000	3.662761E-9
	4.830000	3.660184E-9
	4.840000	3.657930E-9
	4.850000	3.650522E-9
	4.860000	3.644725E-9
	4.870000	3.638928E-9
	4.880000	3.638283E-9
	4.890000	3.641504E-9
	4.900000	3.639572E-9
	4.910000	3.639894E-9
	4.920000	3.636673E-9
	4.930000	3.634419E-9
	4.940000	3.634419E-9
	4.950000	3.632486E-9
	4.960000	3.632808E-9
	4.970000	3.631198E-9
	4.980000	3.627655E-9
	4.990000	3.626367E-9
	5.000000	3.621858E-9
	5.010000	3.621214E-9
	5.020000	3.617671E-9
	5.030000	3.615094E-9
	5.040000	3.618959E-9
	5.050000	3.625078E-9
	5.060000	3.639250E-9
	5.070000	3.657930E-9
	5.080000	3.681119E-9
	5.090000	3.709139E-9
	5.100000	3.732972E-9
	5.110000	3.753263E-9
	5.120000	3.762603E-9
	5.130000	3.764535E-9
	5.140000	3.762603E-9
	5.150000	3.751652E-9
	5.160000	3.740702E-9
	5.170000	3.725243E-9
	5.180000	3.710105E-9
	5.190000	3.699477E-9
	5.200000	3.685628E-9
	5.210000	3.678542E-9
	5.220000	3.669524E-9
	5.230000	3.661795E-9
	5.240000	3.658574E-9
	5.250000	3.653421E-9
	5.260000	3.651488E-9
	5.270000	3.650200E-9
	5.280000	3.648912E-9
	5.290000	3.649878E-9
	5.300000	3.648590E-9
	5.310000	3.651810E-9
	5.320000	3.653743E-9
	5.330000	3.654387E-9
	5.340000	3.657286E-9
	5.350000	3.658574E-9
	5.360000	3.662439E-9
	5.370000	3.660828E-9
	5.380000	3.657608E-9
	5.390000	3.659540E-9
	5.400000	3.658574E-9
	5.410000	3.659862E-9
	5.420000	3.658896E-9
	5.430000	3.657286E-9
	5.440000	3.655031E-9
	5.450000	3.646013E-9
	5.460000	3.643114E-9
	5.470000	3.640860E-9
	5.480000	3.642470E-9
	5.490000	3.645369E-9
	5.500000	3.643759E-9
	5.510000	3.644081E-9
	5.520000	3.642792E-9
	5.530000	3.641826E-9
	5.540000	3.644081E-9
	5.550000	3.643114E-9
	5.560000	3.643114E-9
	5.570000	3.640538E-9
	5.580000	3.636673E-9
	5.590000	3.635707E-9
	5.600000	3.631842E-9
	5.610000	3.630232E-9
	5.620000	3.628621E-9
